date,symbol_id,symbol_name,open,high,low,close
2025-09-02,8,GOOG,208.99,212.37,206.96,211.99
2025-08-29,8,GOOG,211.27,215.34,210.97,213.53
2025-08-28,8,GOOG,207.84,212.90,207.60,212.37
2025-08-27,8,GOOG,206.46,209.57,206.39,208.21
2025-08-26,8,GOOG,208.37,208.46,206.45,207.95
2025-08-25,8,GOOG,207.00,211.09,205.95,209.16
2025-08-22,8,GOOG,203.96,209.23,202.13,206.72
2025-08-21,8,GOOG,200.72,203.36,200.40,200.62
2025-08-20,8,GOOG,201.68,202.17,197.46,200.19
2025-08-19,8,GOOG,203.90,204.29,200.93,202.49
2025-08-18,8,GOOG,205.07,206.14,203.41,204.29
2025-08-15,8,GOOG,204.72,207.33,202.08,204.91
2025-08-14,8,GOOG,202.56,205.42,202.32,203.82
2025-08-13,8,GOOG,204.98,205.43,198.64,203.03
2025-08-12,8,GOOG,202.10,205.13,201.40,204.16
2026-01-02,10,TSLA,457.80,458.34,435.30,438.07
2025-12-31,10,TSLA,456.10,456.55,449.30,449.72
2025-12-30,10,TSLA,461.09,463.12,453.83,454.43
2025-12-29,10,TSLA,469.00,469.40,459.00,459.64
2025-12-26,10,TSLA,485.23,489.09,473.82,475.19
2025-12-24,10,TSLA,488.48,490.90,476.80,485.40
2025-12-23,10,TSLA,489.40,491.97,482.84,485.56
2025-12-22,10,TSLA,489.88,498.83,485.33,488.73
2025-12-19,10,TSLA,488.12,490.49,474.72,481.20
2025-12-18,10,TSLA,478.16,490.86,473.12,483.37
2025-12-17,10,TSLA,488.22,495.28,466.20,467.26
2025-12-16,10,TSLA,472.21,491.50,465.83,489.88
2025-12-15,10,TSLA,469.44,481.77,467.66,475.31
2025-12-12,10,TSLA,448.09,463.01,441.67,458.96
2025-12-11,10,TSLA,448.94,449.27,440.33,446.89
2025-12-10,10,TSLA,446.06,456.88,443.61,451.45
2025-12-09,10,TSLA,437.54,452.39,435.70,445.17
2025-12-08,10,TSLA,447.44,449.75,435.25,439.58
2025-12-05,10,TSLA,453.03,458.87,451.66,455.00
2025-12-04,10,TSLA,449.94,454.63,445.39,454.53
2025-12-03,10,TSLA,432.10,447.92,431.11,446.74
2025-12-02,10,TSLA,430.81,436.80,422.12,429.24
2025-12-01,10,TSLA,425.32,433.66,425.29,430.14
2025-11-28,10,TSLA,426.59,432.93,426.20,430.17
2025-11-26,10,TSLA,423.95,426.94,416.89,426.58
2025-11-25,10,TSLA,414.42,420.48,405.95,419.40
2025-11-24,10,TSLA,402.17,421.72,401.09,417.78
2025-11-21,10,TSLA,402.32,402.80,383.76,391.09
2025-11-20,10,TSLA,414.63,428.94,394.74,395.23
2025-11-19,10,TSLA,406.18,411.78,398.50,403.99
2025-11-18,10,TSLA,405.38,408.90,393.71,401.25
2025-11-17,10,TSLA,398.74,423.96,398.74,408.92
2025-11-14,10,TSLA,386.30,412.19,382.78,404.35
2025-11-13,10,TSLA,423.13,424.50,396.34,401.99
2025-11-12,10,TSLA,442.15,442.33,426.56,430.60
2025-11-11,10,TSLA,439.40,442.49,432.36,439.62
2025-11-10,10,TSLA,439.60,449.67,433.36,445.23
2025-11-07,10,TSLA,437.92,439.36,421.88,429.52
2025-11-06,10,TSLA,461.96,467.45,435.09,445.91
2025-11-05,10,TSLA,452.05,466.33,440.71,462.07
2025-11-04,10,TSLA,454.46,460.22,443.60,444.26
2025-11-03,10,TSLA,455.99,474.07,453.80,468.37
2025-10-31,10,TSLA,446.75,458.00,443.69,456.56
2025-10-30,10,TSLA,451.05,455.06,439.61,440.10
2025-10-29,10,TSLA,462.50,465.70,452.65,461.51
2025-10-28,10,TSLA,454.78,467.00,451.60,460.55
2025-10-27,10,TSLA,439.98,460.16,438.69,452.42
2025-10-24,10,TSLA,446.83,451.68,430.17,433.72
2025-10-23,10,TSLA,420.00,449.40,413.90,448.98
2025-10-22,10,TSLA,443.45,445.54,429.00,438.97
2025-10-21,10,TSLA,445.76,449.30,442.05,442.60
2025-10-20,10,TSLA,443.86,449.80,440.61,447.43
2025-10-17,10,TSLA,425.50,441.46,423.60,439.31
